
Subjects incorporated to date: 019
Data file started on machine PL_LABXP1

**********************************************************************
Subject 1, 05/04/2009 15:34:38 on PL_LABXP1, refresh 9.99ms, ID EP
  Item       RT
101000   1727.88
101001   1321.75
101002   1128.56
101003   1190.00
101004   1058.09
101005    760.87
101006    978.77
101007    823.52
101008    797.70
101009    793.77
101010   1259.99
101011    867.94
101012    692.07
101013    911.10
102000   1113.80
102001   1059.02
102002    859.14
102003    940.16
102004   1234.11
102005    858.92
102006   1104.03
102007    830.75
102008    913.35
102009   1052.45
102010    694.42
102011    757.32
102012    948.78
103000    599.55
103001   1410.29
103002   1077.69
103003    735.76
103004    914.10
103005   1318.31
103006   1260.37
103007    964.37
103008    917.76
103009    888.87
103010   1001.29
103011   1018.69
103012    852.27
103013   1224.15
103014    938.91
104000    603.90
104001    810.85
104002   1105.88
104003    894.41
104004    956.51
104005    897.60
104006    817.63
104007    834.09
104008   1775.71
104009    794.52
104010    849.21
104011    770.50
104012    841.39
104013    971.20
105000    626.03
105001    863.09
105002   1317.03
105003    828.94
105004   1375.39
105005    669.15
105006    686.57
105007    890.08
105008    759.02
105009    729.05
105010   1729.76
105011    769.04
106000    593.51
106001    810.78
106002   1887.15
106003    614.22
106004    599.26
106005    749.29
106006    674.40
106007    659.19
106008   1233.93
106009    938.81
106010    752.34
106011   1205.15
106012    830.42
106013   1119.70
107000    449.63
107001    549.34
107002    640.34
107003    586.31
107004    670.29
107005   1187.21
107006    569.32
107007    734.00
107008   1044.12
107009    809.05
107010    679.15
107011    753.36
107012    876.92
108000    446.60
108001   1399.66
108002    824.96
108003    758.94
108004    816.87
108005    944.62
108006    982.51
108007    905.25
108008    972.82
108009    948.81
108010    574.92
108011    626.81
108012    609.09
108013    762.02
 60000    395.93
 60001    589.27
 60002    633.91
 60003    709.07
 60004    685.37
 60005   1312.98
 60006    749.27
 60007    749.06
 60008    914.27
 60009   1258.44
 60010   1093.21
 60011    789.01
 60012    585.52
 60013    998.72
 60014    745.53
 60015    757.37
 54000    472.05
 54001   1160.98
 54002    604.38
 54003    497.53
 54004   1283.69
 54005    648.96
 54006    759.04
 54007    827.61
 54008   1963.65
 54009    725.06
 54010    804.22
 54011    736.16
 54012   1382.12
 54013    686.43
 54014    982.51
 12000    446.36
 12001    726.37
 12002    699.25
 12003    744.49
 12004    821.76
 12005   1249.44
 12006   1018.75
 12007    633.25
 12008   1399.91
 12009    899.78
 12010    689.13
 12011    773.24
 12012   1091.74
 12013    803.60
 12014    949.10
 53000    449.49
 53001    722.72
 53002    762.80
 53003    858.78
 53004    772.53
 53005    775.58
 53006    798.98
 53007   1688.49
 53008   1059.42
 53009    789.00
 53010   1601.13
 53011    772.35
 53012    697.58
 53013   1325.74
 53014    750.27
 25000    459.07
 25001    863.37
 25002   1078.74
 25003    689.37
 25004    794.48
 25005    703.59
 25006    733.99
 25007    646.62
 25008   2087.06
 25009   1028.64
 25010    674.67
 25011   -830.85
 48000    441.26
 48001    717.48
 48002    863.08
 48003    898.84
 48004   1002.33
 48005    814.31
 48006   1366.73
 48007    719.08
 48008  -2112.31
 19000    569.37
 19001   1018.70
 19002    813.78
 19003    760.75
 19004    896.81
 19005   1198.46
 19006   1063.76
 19007    951.67
 19008   1750.02
 19009    816.07
 19010    871.56
 19011    877.06
 19012   1083.71
 20000    613.13
 20001    626.83
 20002    968.94
 20003    763.77
 20004    669.15
 20005    707.88
 20006    848.93
 20007    922.34
 20008   1417.68
 20009   1024.03
 20010    733.03
 20011    858.91
 20012    866.48
  5000   1041.67
  5001    623.60
  5002    649.19
  5003    622.12
  5004    704.66
  5005    672.62
  5006    961.51
  5007    924.76
  5008    733.89
  5009   1353.25
  5010    981.73
  5011    999.21
 29000    696.80
 29001    910.47
 29002    868.92
 29003   1079.45
 29004    700.62
 29005    968.48
 29006    709.23
 29007    828.93
 29008   1470.51
 29009    769.04
 29010   1528.03
 29011    677.11
 29012    918.40
 29013   1080.82
 29014    752.88
 29015   1049.90
 44000    464.99
 44001    587.13
 44002   1711.49
 44003    539.32
 44004    559.30
 44005    678.96
 44006    723.54
 44007    699.75
 44008   1311.71
 44009   1575.79
 44010  -1449.71
  6000    499.35
  6001    909.08
  6002   1016.77
  6003    712.23
  6004   1098.81
  6005    866.11
  6006   1888.26
  6007    984.59
  6008    779.47
  6009   1043.48
  6010    923.97
  6011    995.13
  6012   1652.55
  6013    798.15
 43000    419.65
 43001    717.75
 43002    693.51
 43003    881.49
 43004    796.24
 43005   1028.88
 43006    785.44
 43007   1538.20
 43008    809.21
 43009   1006.26
 43010    913.81
 43011    968.77
 43012   1028.67
 51000    777.23
 51001    814.90
 51002    752.18
 51003    999.35
 51004   1917.53
 51005    836.68
 51006    736.44
 51007   1774.09
 51008    830.76
 51009    891.80
 51010    852.70
 51011    827.31
 51012    898.83
 51013    893.29
 51014   1859.73
 11000    979.96
 11001    858.56
 11002    867.07
 11003    807.15
 11004    818.97
 11005   1609.90
 11006    883.07
 11007   1257.12
 11008    779.03
 11009    869.92
 11010    815.70
 11011    990.27
 11012    748.64
125000    578.84
125001    683.26
125002   1049.25
125003    816.58
125004    786.62
125005    743.34
125006    912.80
125007    848.94
125008    881.96
125009    828.94
125010    868.89
125011    833.50
125012    801.78
125013    781.28
125014   -765.57
134000    873.52
134001    787.33
134002    801.48
134003    991.12
134004    893.34
134005    982.92
134006   1660.71
134007   1167.04
134008   1085.05
134009    936.03
134010   1068.58
134011   1377.34
134012   1058.65
134013   1094.44
123000    685.38
123001    784.52
123002   1537.59
123003   1349.76
123004    699.16
123005    920.31
123006   1208.87
123007  -2621.74
 10000   1085.23
 10001   2176.52
 10002    744.73
 10003    798.75
 10004   1127.22
 10005    779.03
 10006    899.15
 10007   1515.12
 10008   1203.45
 10009    658.74
 10010    901.70
 10011    800.87
 10012    904.33
 10013   1248.35
 10014   1005.50
 10015    817.57
 21000    535.04
 21001   1108.58
 21002    830.26
 21003    528.23
 21004   1112.56
 21005    631.34
 21006   1028.69
 21007   1054.00
 21008   1031.33
 21009    675.38
 21010    831.63
 21011    782.06
 21012   1424.06
 21013   1921.71
 57000    544.58
 57001    936.43
 57002    614.65
 57003    619.61
 57004   1204.00
 57005   1008.95
 57006   1442.15
 57007   1755.04
 57008    938.27
 57009   1341.70
 57010    604.19
 57011    872.42
 57012    798.99
 57013   1447.83
119000    916.04
119001    823.44
119002   1363.77
119003    619.23
119004    624.36
119005    680.11
119006   1627.23
119007   1194.27
119008    610.45
119009    701.59
119010   1358.27
119011   1236.44
119012    688.89
 72000    580.10
 72001    701.90
 72002    769.04
 72003   1242.32
 72004    809.01
 72005    791.38
 72006    889.64
 72007    958.74
 72008    863.90
 72009    757.78
 72010    729.62
 72011    858.42
 72012   1148.61
 72013    941.00
 72014    753.27
 72015   1026.23
116000    534.94
116001   1666.64
116002   1645.51
116003    687.69
116004    913.06
116005    780.96
116006   2077.15
116007    518.01
116008   1480.26
116009    736.69
116010   1734.25
116011   1533.71
116012   1181.83
116013   1222.99
 41000    532.79
 41001   1076.71
 41002    611.78
 41003    549.32
 41004    562.62
 41005   -559.32
 45000    469.69
 45001    803.89
 45002   -931.06
 13000    465.07
 13001    642.81
 13002    762.81
 13003    623.99
 13004    529.36
 13005   1068.70
 13006   1455.46
 13007    519.37
 13008   1033.73
 13009    736.59
 13010    813.14
 13011   1123.43
 13012    720.12
111000    522.27
111001    631.70
111002    462.44
111003    981.16
111004    507.02
111005    859.16
111006    579.54
111007    789.24
111008    599.52
111009   1241.33
111010    896.88
111011    723.93
111012   1045.81
111013    659.43
 23000    612.37
 23001    981.39
 23002    874.20
 23003   1267.12
 23004    908.24
 23005   2476.87
 23006   1740.48
 23007    752.96
 23008    563.90
 23009    501.89
 23010    851.97
 23011   1707.80
 23012   1078.91
 23013    622.51
 23014    781.04
124000   1353.35
124001    854.40
124002    553.68
124003    812.93
124004    590.10
124005    954.67
124006   1909.64
124007    801.35
124008   1587.95
124009   1048.23
124010   1210.25
124011    808.59
124012    751.01
124013    652.71
  9000    653.01
  9001    834.35
  9002    796.72
  9003   1186.37
  9004    948.79
  9005   1106.90
  9006   1309.42
  9007   1575.85
  9008    642.46
  9009    639.20
  9010    578.14
  9011    849.67
 16000    432.36
 16001    584.06
 16002    415.88
 16003    578.86
 16004    594.69
 16005    449.91
 16006    998.92
 16007    516.96
 16008   -835.36
133000    376.57
133001    486.01
133002    626.88
133003    509.37
133004    460.04
133005    821.30
133006   1336.19
133007   -804.01
 35000    559.16
 35001   1068.58
 35002   1557.35
 35003   -486.08
 67000    413.42
 67001    780.38
 67002    664.57
 67003    580.88
 67004   1002.86
 67005    670.12
 67006    824.80
 67007    562.66
 67008    639.22
 67009    573.18
 67010    918.86
 67011    669.16
 67012    578.42
 67013    608.02
 67014    878.88
 67015   1388.23
 34000    414.19
 34001    612.19
 34002    659.42
 34003    623.16
 34004    469.44
 34005    577.98
 34006    844.07
 34007    438.67
 34008   1084.52
 34009    495.57
 34010    599.25
 34011    571.35
 34012    471.22
 34013    811.54
 17000    401.36
 17001    409.23
 17002    431.58
 17003    366.82
 17004    621.48
 17005    499.37
 17006    642.51
 17007    828.90
 17008   1357.40
 17009    708.64
 17010    358.40
 17011    524.88
 17012   -410.68
 30000    446.47
 30001    767.88
 30002    459.44
 30003    429.35
 30004    594.80
 30005    533.76
 30006    523.98
 30007    715.24
 30008    938.34
 30009    438.68
 30010    553.26
 30011   1029.55
 30012    574.57
 30013    525.65
 15000    349.61
 15001    469.27
 15002    449.40
 15003    540.81
 15004    442.27
 15005    626.94
 15006    967.84
 15007    878.59
 15008  -1240.26
113000    461.25
113001    850.31
113002    388.44
113003   1937.56
113004    888.87
113005    453.74
113006    647.01
113007    902.74
113008    531.62
113009    589.26
113010    481.97
113011    607.17
 66000    521.89
 66001    812.02
 66002    633.89
 66003    444.49
 66004   1218.80
 66005    678.53
 66006    908.78
 66007   -562.97
 14000    292.85
 14001    521.66
 14002    449.07
 14003    439.48
 14004    456.68
 14005    596.22
 14006    580.73
 14007   1221.39
 14008    607.78
 14009    514.42
 14010   1182.15
!  Display error at msec 792962.44, tick 78787 in item 14011, frame "of   dare"
!    moved into video memory 3 ticks late
!     (previous frame's duration will have been longer)
!    -- possibly caused by another process taking 4 ticks
!    -- but more than likely due to msec callback being 32.21ms late
 14011    571.09
 14012    669.17
 14013    655.60
 14014    593.34
  2000    383.99
  2001    571.59
  2002    591.28
  2003    442.66
  2004    539.55
  2005    633.34
  2006   1243.74
  2007   1108.57
  2008    526.92
  2009    686.67
  2010   1080.02
  2011    584.73
  2012    503.98
 28000    319.79
 28001    753.45
 28002    396.16
 28003    852.47
 28004    459.45
 28005    720.54
 28006    673.70
 28007    554.73
 28008    611.04
 28009    535.22
 28010    883.26
 28011    437.03
 28012    673.84
 28013    737.96
 28014    669.22
 28015    675.24
 39000    373.37
 39001   -649.26
  7000    319.60
  7001    549.53
  7002    659.81
  7003    695.99
  7004    743.65
  7005    563.36
  7006    721.78
  7007    990.33
  7008   1511.69
  7009    505.06
  7010    588.34
  7011    468.24
  7012    871.30
