
Subjects incorporated to date: 019
Data file started on machine PL_LABXP4

**********************************************************************
Subject 1, 04/21/2009 10:56:15 on PL_LABXP4, refresh 9.99ms, ID JR
  Item       RT
101000   4810.71
101001   3634.59
101002   1303.23
101003    911.23
101004   1098.62
101005    709.16
101006    692.74
101007    694.70
101008    749.07
101009    785.66
101010    595.65
101011    674.93
101012    744.41
101013    381.69
101014    494.59
101251   3341.02
102000   2436.41
102001    691.26
102002    701.78
102003   1153.28
102004    699.43
102005    886.60
102006   1261.25
102007    752.13
102008    701.87
102009    900.65
102010    714.94
102011    645.84
102012    578.15
102013    688.92
103000   2139.16
103001   2340.26
103002    639.22
103003    740.93
103004    830.69
103005    693.44
103006    671.51
103007    600.43
103008    578.72
103009    773.84
103010    701.12
103011    657.54
103012    597.58
103013    561.43
103014    493.79
103015    409.76
103251   3178.42
104000    818.99
104001   1657.92
104002    624.03
104003    572.48
104004    549.32
104005    461.45
104006    543.63
104007    596.46
104008    835.44
104009    546.68
104010    719.12
104011    700.53
104012    515.67
104013    529.38
104014    648.82
105000   1286.68
105001   1597.45
105002    711.74
105003    546.94
105004    821.06
105005    729.09
105006    485.48
105007    423.53
105008    507.31
105009    649.21
105010    594.55
105011    531.47
105012    649.76
105251   2434.66
106000    706.68
106001    877.71
106002    669.85
106003    702.12
106004    826.92
106005    712.59
106006    729.10
106007    709.10
106008    868.92
106009    552.21
106010    556.97
106011    639.95
106012    573.29
106013    526.68
106014    685.34
107000    765.72
107001    809.77
107002    679.17
107003    569.65
107004    714.87
107005    621.37
107006    606.93
107007    594.66
107008    588.65
107009    689.82
107010    549.33
107011    569.38
107012    361.71
107013    449.88
107251   2816.18
108000    567.09
108001    650.93
108002    769.05
108003    538.34
108004    413.45
108005    589.31
108006    707.42
108007    509.49
108008    432.06
108009    439.50
108010    399.83
108011    363.31
108012    405.50
108013    363.92
108014    591.75
  1000   3565.48
  1001    448.60
  1002    549.34
  1003    439.48
  1004    353.92
  1005    343.41
  1006    654.79
  1007    410.40
  1008    410.71
  1009    480.30
  1010    369.56
  1011    413.36
  1012    553.06
  1013    460.18
  1014    571.60
  1251   8391.48
119000   1392.47
119001    763.22
119002    881.39
119003    589.29
119004    690.54
119005    609.31
119006    581.37
119007    529.36
119008    588.85
119009    543.99
119010    552.88
119011    633.05
119012    519.37
119013    588.76
128000   1912.31
128001    511.94
128002    568.50
128003    553.53
128004    446.97
128005    862.56
128006    489.40
128007    748.39
128008    559.32
128009    753.46
128010    492.07
128011    415.17
128012    425.97
128013    393.59
128014    373.59
128251   3361.45
133000    752.43
133001    911.94
133002    574.71
133003    525.31
133004    474.11
133005    383.98
133006    603.52
133007    469.40
133008    749.06
133009    689.15
133010    375.82
133011    358.10
133012    479.41
133251   2996.19
  4000    442.28
  4001    528.73
  4002    518.39
  4003    529.36
  4004    463.83
  4005    487.27
  4006    442.73
  4007    424.99
  4008    509.80
  4009    509.41
  4010    371.56
  4011    433.05
  4012    408.26
  4013    355.74
  4014    389.54
  4251   4529.24
 24000    486.65
 24001    554.47
 24002    501.58
 24003    371.77
 24004    339.60
 24005    348.28
 24006    369.55
 24007    369.56
 24008    386.98
 24009    465.74
 24010    413.02
 24011    345.48
 24012    387.79
 24013    350.77
 24014    353.13
 24015    332.97
  7000    509.39
  7001    426.04
  7002    393.66
  7003    342.51
  7004    301.07
  7005    418.06
  7006    405.04
  7007    404.75
  7008    492.97
  7009    639.22
  7010    539.33
  7011    842.96
  7012    938.94
  7013    353.93
129000   1038.74
129001   1142.93
129002    429.49
129003    316.23
129004    347.70
129005    359.86
129006    397.20
129007    349.82
129008    339.59
129009    361.62
129010    373.54
129011    382.31
129012    380.33
129013    317.81
129014    466.43
129015    429.49
 17000    642.24
 17001    382.33
 17002    436.99
 17003    413.17
 17004    353.89
 17005    369.56
 17006    473.42
 17007    344.24
 17008    407.45
 17009   1102.92
 17010    489.41
 17011    394.43
 17012    419.50
 17013    620.05
 17014    361.86
117000    672.38
117001    430.48
117002    491.70
117003    409.41
117004    770.51
117005    490.46
117006    428.32
117007    341.27
117008    342.96
117009    339.56
117010    401.79
117011    479.42
117012    354.68
117013    408.89
117014    368.91
117015    539.34
 19000   1371.09
 19001    494.52
 19002    439.75
 19003    357.32
 19004    352.52
 19005    399.82
 19006    449.84
 19007    582.80
 19008    360.39
 19009    412.33
 19010    391.98
 19011    347.50
 19012    361.82
 19013    365.05
 19251   3132.30
121000    687.58
121001    366.39
121002    353.98
121003    369.57
121004    398.54
121005    317.02
121006    329.60
121007    359.58
121008    369.94
121009    375.64
121010    359.58
121011    365.07
121012    373.07
121013    317.39
121014    280.49
121015    523.87
121251   1900.28
  5000     74.18
  5001    746.71
  5002    309.64
  5003    284.73
  5004    263.12
  5005    304.84
  5006    403.72
  5007    449.46
  5008    336.03
  5009    381.83
  5010    399.46
  5011    362.62
  5012    439.98
  5251   3537.95
  9000    359.57
  9001    245.08
  9002    250.72
  9003    237.04
  9004    255.74
  9005    269.70
  9006    316.03
  9007    285.12
  9008    862.47
  9009    338.90
  9010    325.11
  9011    413.11
  9012    430.97
  3000    897.22
  3001    345.64
  3002    378.28
  3003    300.24
  3004    299.65
  3005    305.31
  3006    316.69
  3007    328.99
  3008    313.01
  3009    289.66
  3010    505.82
  3011    406.16
  3012    373.24
  3013    459.15
 11000    699.17
 11001    409.51
 11002    413.64
 11003    299.66
 11004    322.09
 11005    310.67
 11006    336.06
 11007    311.54
 11008    327.50
 11009    391.08
 11010    320.40
 11011    351.01
 11012    379.78
 11013    389.83
126000    780.28
126001    526.72
126002    530.00
126003    463.93
126004    333.60
126005    353.02
126006    347.58
126007    323.61
126008    331.51
126009    406.89
126010    441.06
126011    228.56
126012    269.69
126251   1851.99
  8000    452.73
  8001    362.03
  8002    322.45
  8003    369.57
  8004    293.56
  8005    325.50
  8006    416.42
  8007    321.86
  8008    349.24
  8009    376.26
  8010    401.69
  8011    419.51
  8012    510.13
  8013    368.33
  8251   4134.73
114000    494.71
114001    847.52
114002    331.23
114003    331.35
114004    350.77
114005    324.37
114006    277.76
114007    535.66
114008    449.45
114009    275.41
114010    303.90
114011    274.94
114012    300.69
114013    307.98
114014    287.05
115000    409.51
115001    299.65
115002    479.41
115003    391.09
115004    322.49
115005    299.17
115006    296.06
115007    295.95
115008    289.67
115009    359.04
115010    402.40
115011    321.55
115012    273.82
115013    308.84
115014    416.00
115015    255.02
115016    325.94
115251   1664.81
113000    478.53
113001    320.37
113002    247.23
113003    297.94
113004    517.38
113005    332.62
113006    339.60
113007    346.84
113008    381.44
113009    432.50
113010    382.97
113011    294.17
113012    222.62
112000    417.71
112001    275.07
112002    274.26
112003    255.06
112004    309.64
112005    273.26
112006    289.66
112007    289.65
112008    333.24
112009    335.09
112010    254.90
112011    238.78
112012    243.82
112013    393.23
112251   1649.42
 18000    516.31
 18001    247.56
 18002    251.55
 18003    216.12
 18004    219.75
 18005    252.27
 18006    275.42
 18007    265.98
 18008    291.53
 18009    339.60
 18010    337.96
 18011    363.92
 18012    409.51
 18013    468.52
 18014    291.55
 18015    505.13
111000    479.27
!  Display error at msec 480207.48, tick 48075 in item 111001, frame "The ------ --- ---- -- ----- -- ------- --- --- ----- ---- ---- ----."
!    was blocked by Flip() not returning for 5.25ms
!     (previous frame's duration will have been longer)
!    -- due to msec callback being 5.13ms late
111001    390.72
111002    321.32
111003    318.51
111004    359.87
111005    328.75
111006    383.57
111007    383.18
111008    462.02
111009    435.88
111010    324.11
111011    342.10
111012    299.64
111013    326.85
111014    533.00
111251   2539.09
 20000    536.36
 20001    327.57
 20002    358.85
 20003    603.40
 20004    369.89
 20005    327.75
 20006    350.64
 20007    327.54
 20008    353.16
 20009    451.25
 20010    433.68
 20011    392.23
 20012    378.10
 20013    804.60
 20251   1965.47
 13000    551.63
 13001    327.05
 13002    320.42
 13003    283.34
 13004    381.56
 13005    293.19
 13006    383.73
 13007    467.32
 13008    488.54
 13009    459.76
 13010    489.03
 13011    356.63
 13012    366.91
 13013    406.85
 13251   1340.66
!  Display error at msec 507671.94, tick 50818 in item 120000, frame "--- ----- ---- --- - --- -------- -- ------ --- ---- --------- ---- ----."
!    was blocked by Flip() not returning for 4.97ms
!     (previous frame's duration will have been longer)
!    -- due to msec callback being 4.83ms late
120000    480.32
120001    339.88
120002    499.69
120003    979.13
120004    586.88
120005    369.90
120006    335.06
120007    407.08
!  Display error at msec 512317.06, tick 51275 in item 120008, frame "--- ----- ---- --- - --- -------- to ------ --- ---- --------- ---- ----."
!    moved into video memory 8 ticks late
!     (previous frame's duration will have been longer)
!    -- possibly caused by another process taking 9 ticks
!    -- exaggerated by msec callback being 4.83ms late
120008    315.36
120009    308.77
120010    431.26
120011    370.12
120012    417.71
120013    612.10
120014    679.01
120251   2500.28
 12000    400.60
 12001    328.54
 12002    356.08
 12003    330.91
 12004    344.62
 12005    353.08
 12006    349.61
 12007    309.93
 12008    312.30
 12009    445.47
 12010    320.41
 12011    355.98
 12012    562.37
 12013    349.39
 12014    346.36
 12015    374.44
 12251   -984.64
127000   1897.87
127001    477.39
127002    421.45
127003    439.78
127004    422.59
127005    419.79
127006    395.04
127007    409.81
127008    532.03
127009    424.79
127010    380.45
127011    441.73
127012    371.79
127013    309.28
127014    319.93
122000    729.10
122001    479.42
122002    368.71
122003    355.24
122004    325.40
122005    299.65
122006    279.68
122007    309.67
122008    423.32
122009    414.39
122010    364.56
122011    348.01
122012    309.94
122013    422.02
 15000    575.44
 15001   1138.24
 15002    379.85
 15003    349.88
 15004    339.90
 15005    305.85
